window,parent,child,parent weight,child weight
365d,44783587,4132926,0.10762150708871,0.0744601062785879
365d,44783587,4182969,0.10762150708871,0.0283449275306563
365d,44783587,4090426,0.10762150708871,0.0228707552326701
365d,44783587,4184117,0.10762150708871,0.00525316947656786
365d,44783587,37018713,0.10762150708871,0.0048297491759001
365d,44783587,4201555,0.10762150708871,0.00296337553262846
365d,44783587,4126244,0.10762150708871,0.001128388751584
365d,44783587,4236484,0.10762150708871,0.00109640023382722
365d,44783587,4275522,0.10762150708871,0.00102735009179164
365d,44783587,43530714,0.10762150708871,0.000317964005157778
365d,44783587,4185640,0.10762150708871,0.000232890949850654
365d,44783587,4104161,0.10762150708871,0.000125901059168941
365d,37311678,43531058,0.171012871661424,0.0969884586420708
365d,37311678,4041285,0.171012871661424,0.0737984227904971
365d,37311678,43531059,0.171012871661424,0.0503943266450685
365d,37311678,444220,0.171012871661424,0.0109695777896829
365d,37311678,194133,0.171012871661424,0.0108971543759271
365d,37311678,4021773,0.171012871661424,0.000519396181327252
365d,37311677,444089,0.106004152280762,0.0683824743437352
365d,37311677,4171379,0.106004152280762,0.0488300790290908
365d,37311677,43531053,0.106004152280762,0.0379290873669886
365d,37311677,4042501,0.106004152280762,0.00578827790737524
365d,37311677,4042500,0.106004152280762,0.00154329887134187
365d,37311677,196724,0.106004152280762,0.000426932505405894
365d,37311677,4178673,0.106004152280762,0.000212605780439465
365d,4274025,432250,0.587210050332628,0.0866479864111505
365d,4274025,4042836,0.587210050332628,0.0814860058759734
365d,4274025,432795,0.587210050332628,0.0662301361919657
365d,4274025,4339468,0.587210050332628,0.0572433713413754
365d,4274025,133468,0.587210050332628,0.0532990432725322
365d,4274025,4266186,0.587210050332628,0.050297091440967
365d,4274025,443883,0.587210050332628,0.0373424527635551
365d,4274025,37206233,0.587210050332628,0.0349195318440966
365d,4274025,432586,0.587210050332628,0.0271548426565164
365d,4274025,4179873,0.587210050332628,0.0230165053746472
365d,4274025,436670,0.587210050332628,0.0186129102469722
365d,4274025,253549,0.587210050332628,0.0145955810091362
365d,4274025,443783,0.587210050332628,0.0102320932448583
365d,4274025,4112748,0.587210050332628,0.00984770452235507
365d,4274025,4266188,0.587210050332628,0.00787679802816356
365d,4274025,440371,0.587210050332628,0.00768197157065203
365d,4274025,444363,0.587210050332628,0.00737044282166795
